MovieID,SegStart,SegEnd,AM_Label,Alarm clock,Animal,Bird,"Bird vocalization, bird call, bird song","Chirp, tweet",Cricket,Door,Environmental noise,Glass,Gong,Liquid,Music,Noise,Plucked string instrument,Pour,Silence,Singing bowl,Snake,Speech,"Splash, splatter",Tap,"Trickle, dribble",Ukulele,Vehicle,Water,White noise,Wild animals
2,509.5,515.5,AMY-HI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,547.5,553.5,AMY-HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,549.5,555.5,MD-LO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,576.5,582.5,MD-LO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,594.5,600.5,MD-LO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,602.5,608.5,AMY-LO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,609.5,615.5,MD-HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,624.5,630.5,AMY-LO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,624.5,630.5,MD-HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,629.5,635.5,MD-LO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,654.5,660.5,AMY-LO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,658.5,664.5,MD-HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,686.5,692.5,MD-HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,699.5,705.5,AMY-HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
