sec,face_present,num_faces,face_area
359,True,8,0.021352618932724
360,True,8,0.021410200744867325
361,True,3,0.058003462851047516
362,True,3,0.05326665937900543
363,True,3,0.054916899651288986
364,True,3,0.05379920452833176
365,True,3,0.053448088467121124
366,True,3,0.05459010973572731
367,True,1,0.04337417706847191
368,True,1,0.04126524180173874
369,False,0,0.0
370,False,0,0.0
371,False,0,0.0
372,True,3,0.04520304873585701
373,True,3,0.05960555002093315
374,True,3,0.059764523059129715
375,True,3,0.05996768921613693
376,True,2,0.011861382983624935
377,True,2,0.011575503274798393
378,True,2,0.011619394645094872
379,True,2,0.011379624716937542
380,True,2,0.011587698943912983
381,True,2,0.011270266026258469
382,True,2,0.011502072215080261
383,True,10,0.014820312149822712
384,True,10,0.012999982573091984
385,True,10,0.013506807386875153
386,True,11,0.016991695389151573
387,True,10,0.014140881597995758
388,True,2,0.041929543018341064
389,True,2,0.04278315603733063
390,True,2,0.04236017167568207
391,True,2,0.043535079807043076
392,True,3,0.057500775903463364
393,True,3,0.058444395661354065
394,True,3,0.05818251520395279
395,True,3,0.05989844352006912
396,True,13,0.02069261483848095
397,True,11,0.017364896833896637
398,True,9,0.015607570298016071
399,True,10,0.018022792413830757
400,True,11,0.019092842936515808
401,True,1,0.09297621250152588
402,True,1,0.09562046080827713
403,True,1,0.09652157872915268
404,True,1,0.09055094420909882
405,True,1,0.09411854296922684
406,True,1,0.0964600220322609
407,True,1,0.09225763380527496
408,True,1,0.09410356730222702
409,True,1,0.09805852919816971
410,True,1,0.09197676926851273
411,True,11,0.01919463276863098
412,True,2,0.011533724144101143
413,True,11,0.014649318531155586
414,True,10,0.013164457865059376
415,True,2,0.011623661033809185
416,True,3,0.05938037112355232
417,True,2,0.01153938751667738
418,True,2,0.012477121315896511
419,True,3,0.0583035983145237
420,True,2,0.01224641315639019
421,True,2,0.012065582908689976
422,True,3,0.06010030210018158
423,True,3,0.0590444877743721
424,True,3,0.05732426047325134
425,True,3,0.055935416370630264
426,True,3,0.06440599262714386
427,True,4,0.14336110651493073
428,True,4,0.1334335058927536
429,True,4,0.13672026991844177
430,True,4,0.14220111072063446
431,True,4,0.14517605304718018
432,True,4,0.03531442955136299
433,True,4,0.036176059395074844
434,True,5,0.0384252592921257
435,True,5,0.03579392656683922
436,True,3,0.13119781017303467
437,True,3,0.13011862337589264
438,True,3,0.12681737542152405
439,True,1,0.06607799977064133
440,True,2,0.11427690833806992
441,True,2,0.11573473364114761
442,True,1,0.06897800415754318
443,True,1,0.07095427811145782
444,True,1,0.06771209836006165
445,True,3,0.12908078730106354
446,True,2,0.10821772366762161
447,True,2,0.10628353804349899
448,True,2,0.0043759834952652454
449,True,2,0.004070460330694914
450,True,2,0.0034081977792084217
451,True,2,0.004411272704601288
452,True,2,0.005083022639155388
453,True,3,0.007772150915116072
454,True,2,0.011518820188939571
455,True,2,0.015278371050953865
456,True,4,0.021748283877968788
457,True,2,0.021594228222966194
458,True,2,0.02180411107838154
459,True,2,0.02355365827679634
460,True,2,0.025256086140871048
461,True,2,0.024982253089547157
462,True,2,0.02517368458211422
463,True,2,0.025828160345554352
464,True,2,0.02525445632636547
465,True,2,0.025172948837280273
466,True,2,0.02342231012880802
467,True,2,0.02031194604933262
468,True,1,0.007920665666460991
469,True,2,0.009307126514613628
470,True,3,0.006587713956832886
471,True,2,0.0021807157900184393
472,True,5,0.003890356747433543
473,True,3,0.001684894203208387
474,True,4,0.0022626579739153385
475,True,3,0.0017905200365930796
476,True,1,0.012379853054881096
477,True,1,0.012655398808419704
478,True,13,0.02770237997174263
479,True,17,0.03349721059203148
480,True,17,0.03359122946858406
481,True,17,0.033688273280858994
482,True,1,0.031235551461577415
483,True,6,0.06210875138640404
484,True,6,0.055274005979299545
485,True,5,0.04207243397831917
486,True,7,0.06431132555007935
487,True,8,0.09699881076812744
488,True,1,0.011668152175843716
489,True,1,0.011254637502133846
490,True,5,0.08606065064668655
491,True,5,0.0868644192814827
492,False,0,0.0
493,False,0,0.0
494,True,1,0.029190275818109512
495,True,1,0.03132285550236702
496,True,1,0.029889220371842384
497,True,1,0.013486335054039955
498,True,1,0.013009598478674889
499,True,6,0.09252277761697769
500,True,7,0.0994383841753006
501,True,6,0.09034930169582367
502,True,6,0.09222275763750076
503,True,6,0.08889234066009521
504,True,5,0.09218522906303406
505,True,7,0.01641071029007435
506,True,7,0.016576049849390984
507,True,1,0.013272548094391823
508,True,1,0.013257954269647598
509,True,3,0.02235272154211998
510,True,2,0.014037550427019596
511,True,2,0.008717439137399197
512,True,2,0.008344123139977455
513,True,2,0.007542517967522144
514,True,1,0.0029172562062740326
515,False,0,0.0
516,False,0,0.0
517,True,1,0.012514800764620304
518,True,1,0.012435960583388805
519,True,12,0.03726278245449066
520,True,12,0.03765702247619629
521,True,12,0.03797434642910957
522,True,7,0.006498980335891247
523,True,7,0.009407902136445045
524,True,5,0.009152225218713284
525,True,7,0.013248165138065815
526,False,0,0.0
527,False,0,0.0
528,False,0,0.0
529,False,0,0.0
530,False,0,0.0
531,False,0,0.0
532,False,0,0.0
533,False,0,0.0
534,False,0,0.0
535,False,0,0.0
536,False,0,0.0
537,False,0,0.0
538,False,0,0.0
539,False,0,0.0
540,False,0,0.0
541,False,0,0.0
542,False,0,0.0
543,False,0,0.0
544,False,0,0.0
545,False,0,0.0
546,True,1,0.005033749621361494
547,True,1,0.00867330189794302
548,True,1,0.013922810554504395
549,True,3,0.03331294655799866
550,True,3,0.04280462861061096
551,True,3,0.04129383713006973
552,True,1,0.0299275740981102
553,True,1,0.02944296970963478
554,True,2,0.03301997110247612
555,True,2,0.03344776853919029
556,True,2,0.03312603011727333
557,True,2,0.033386144787073135
558,True,1,0.032639406621456146
559,True,1,0.0334465317428112
560,True,1,0.03424317389726639
561,True,1,0.03662893921136856
562,True,1,0.03986934572458267
563,True,1,0.03910214081406593
564,True,1,0.03971587121486664
565,True,1,0.03659985959529877
566,True,1,0.036746732890605927
567,True,1,0.03357463330030441
568,True,1,0.035346031188964844
569,True,1,0.036864347755908966
570,True,1,0.03737363964319229
571,True,1,0.04048929736018181
572,True,1,0.04018639400601387
